[2026-01-07 11:34] Conectando a la base de datos...
[2026-01-07 11:34] Registros encontrados: 78
[2026-01-07 15:49] Ficha generada: D1J190104604.html (Libre)
[2026-01-07 15:49] Total de fichas generadas: 80
[2026-01-14 09:32] Conectando a la base de datos...
[2026-01-14 09:32] Registros encontrados: 80
[2026-01-14 09:32] Ficha generada: 71J184700458.html (Libre)
[2026-01-14 09:32] Ficha generada: 71N222200092.html (Libre)
[2026-01-14 09:32] Ficha generada: 71N222100816.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J222200415.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J203800328.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J195100147.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J213000208.html (Libre)
[2026-01-14 09:32] Ficha generada: 71J192000042.html (Libre)
[2026-01-14 09:32] Ficha generada: D6J225319738.html (Libre)
[2026-01-14 09:32] Ficha generada: D7J250321039.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J192704945.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J192704958.html (Libre)
[2026-01-14 09:32] Ficha generada: 71N222100931.html (Libre)
[2026-01-14 09:32] Ficha generada: 28J191705666.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J214310098.html (Libre)
[2026-01-14 09:32] Ficha generada: D7N250850949.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J190205635.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250600153.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250600158.html (Libre)
[2026-01-14 09:32] Ficha generada: D7N250850980.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250600137.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250600132.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250203801.html (Libre)
[2026-01-14 09:32] Ficha generada: T3J250600149.html (Libre)
[2026-01-14 09:32] Ficha generada: 27221645095.html (Libre)
[2026-01-14 09:32] Ficha generada: 8621745082.html (Libre)
[2026-01-14 09:32] Ficha generada: 8621745012.html (Libre)
[2026-01-14 09:32] Ficha generada: 8621745032.html (Libre)
[2026-01-14 09:32] Ficha generada: 14821845016.html (Libre)
[2026-01-14 09:32] Ficha generada: 8621745083.html (Libre)
[2026-01-14 09:32] Ficha generada: T3N252400314.html (Libre)
[2026-01-14 09:32] Ficha generada: T3N252400310.html (Libre)
[2026-01-14 09:32] Ficha generada: D1J190104621.html (Libre)
[2026-01-14 09:32] Ficha generada: T3N250900123.html (Libre)
[2026-01-14 09:32] Ficha generada: 99J242306718.html (Libre)
